DMSO_6_3_RIBO	DMSO_6_4_RIBO	DMSO_6_1_RNA	DMSO_6_2_RNA	DMSO_6_3_RNA	DMSO_6_4_RNA	DMSO_30_1_RIBO	DMSO_30_2_RIBO	DMSO_30_3_RIBO	DMSO_30_1_RNA	DMSO_30_2_RNA	DMSO_30_3_RNA	PP_30_1_RIBO	PP_30_2_RIBO	PP_30_3_RIBO	PP_30_1_RNA	PP_30_2_RNA	PP_30_3_RNA	PP_6_1_RIBO	PP_6_3_RIBO	PP_6_1_RNA	PP_6_2_RNA	PP_6_3_RNA
INTS11	178.0	196.0	413.0	441.0	417.0	485.0	1448.0	649.0	931.0	1785.0	2656.0	2121.0	446.0	472.0	355.0	1718.0	1434.0	1982.0	325.0	318.0	591.0	841.0	688.0
MIR6727	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	4.0	11.0	0.0	0.0	0.0	5.0	11.0	3.0	0.0	0.0	0.0	0.0	0.0
CPTP	41.0	26.0	198.0	189.0	185.0	221.0	118.0	45.0	128.0	532.0	634.0	510.0	129.0	101.0	35.0	363.0	450.0	510.0	78.0	75.0	205.0	206.0	173.0
TAS1R3	0.0	2.0	6.0	4.0	1.0	2.0	1.0	1.0	1.0	60.0	76.0	51.0	1.0	1.0	0.0	65.0	31.0	48.0	1.0	0.0	5.0	4.0	4.0
DVL1	48.0	95.0	975.0	972.0	946.0	1125.0	272.0	204.0	250.0	2963.0	3861.0	2970.0	102.0	126.0	47.0	3142.0	2641.0	3401.0	115.0	69.0	925.0	970.0	869.0
MIR6808	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
MXRA8	0.0	0.0	0.0	0.0	1.0	1.0	6.0	0.0	6.0	55.0	73.0	67.0	0.0	1.0	0.0	67.0	57.0	60.0	5.0	3.0	1.0	0.0	1.0
AURKAIP1	344.0	397.0	800.0	799.0	732.0	898.0	1162.0	865.0	943.0	1307.0	1809.0	1398.0	661.0	861.0	770.0	1152.0	1195.0	1423.0	335.0	302.0	450.0	668.0	552.0
CCNL2	113.0	180.0	1667.0	1627.0	1645.0	2000.0	427.0	229.0	444.0	6613.0	9254.0	7985.0	284.0	294.0	215.0	6426.0	5263.0	6998.0	116.0	95.0	777.0	1850.0	1579.0
MRPL20-AS1	29.0	29.0	237.0	209.0	228.0	256.0	12.0	103.0	223.0	308.0	470.0	406.0	50.0	81.0	42.0	366.0	286.0	321.0	64.0	53.0	227.0	272.0	274.0
MRPL20	424.0	387.0	1022.0	973.0	970.0	1161.0	1217.0	841.0	1010.0	1093.0	1380.0	1212.0	578.0	853.0	381.0	973.0	990.0	1082.0	324.0	283.0	545.0	758.0	663.0
MRPL20-DT	1.0	0.0	90.0	96.0	82.0	109.0	0.0	0.0	0.0	108.0	169.0	135.0	0.0	0.0	0.0	111.0	101.0	109.0	0.0	0.0	59.0	89.0	70.0
ANKRD65	0.0	0.0	2.0	7.0	2.0	1.0	0.0	0.0	0.0	16.0	18.0	24.0	0.0	0.0	0.0	13.0	3.0	5.0	1.0	0.0	0.0	3.0	2.0
TMEM88B	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	19.0	22.0	22.0	0.0	0.0	0.0	12.0	18.0	25.0	4.0	0.0	3.0	0.0	2.0
LINC01770	1.0	1.0	7.0	4.0	6.0	2.0	0.0	2.0	0.0	12.0	26.0	25.0	0.0	1.0	0.0	9.0	31.0	10.0	2.0	1.0	3.0	2.0	1.0
VWA1	37.0	30.0	102.0	116.0	110.0	127.0	213.0	125.0	295.0	501.0	597.0	411.0	55.0	184.0	183.0	367.0	401.0	556.0	31.0	21.0	42.0	42.0	32.0
ATAD3C	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	2.0	16.0	8.0	2.0	1.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0
ATAD3B	40.0	75.0	690.0	633.0	662.0	807.0	93.0	53.0	93.0	809.0	1304.0	928.0	37.0	77.0	75.0	976.0	807.0	1060.0	14.0	8.0	327.0	580.0	495.0
ATAD3A	137.0	156.0	895.0	862.0	863.0	1064.0	427.0	300.0	346.0	1489.0	2106.0	1618.0	206.0	383.0	188.0	1617.0	1521.0	1818.0	55.0	60.0	563.0	763.0	723.0
TMEM240	0.0	1.0	3.0	0.0	1.0	2.0	0.0	3.0	0.0	12.0	13.0	8.0	0.0	0.0	0.0	13.0	11.0	16.0	0.0	0.0	2.0	0.0	0.0
SSU72	86.0	94.0	1406.0	1323.0	1336.0	1510.0	567.0	424.0	482.0	2391.0	3312.0	2594.0	268.0	293.0	124.0	2309.0	2153.0	2552.0	138.0	77.0	970.0	1006.0	795.0
FNDC10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LOC105378586	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
MIB2	42.0	62.0	181.0	182.0	161.0	205.0	135.0	113.0	52.0	1088.0	1459.0	1185.0	59.0	65.0	116.0	1149.0	928.0	1207.0	73.0	54.0	138.0	166.0	165.0
MMP23B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	4.0	5.0	0.0	0.0	0.0	12.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0
CDK11B	126.0	127.0	269.0	322.0	277.0	371.0	611.0	393.0	365.0	1142.0	1468.0	1280.0	172.0	237.0	164.0	1103.0	928.0	1142.0	184.0	104.0	360.0	340.0	285.0
SLC35E2B	20.0	34.0	934.0	999.0	1000.0	1227.0	188.0	219.0	167.0	1461.0	2320.0	1983.0	114.0	83.0	23.0	1651.0	1348.0	1834.0	34.0	25.0	887.0	1684.0	1511.0
MMP23A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
CDK11A	24.0	15.0	85.0	100.0	118.0	123.0	80.0	116.0	118.0	664.0	922.0	792.0	37.0	56.0	37.0	713.0	703.0	779.0	37.0	32.0	146.0	139.0	112.0
SLC35E2A	2.0	3.0	509.0	545.0	524.0	600.0	27.0	1.0	7.0	603.0	1026.0	905.0	29.0	6.0	10.0	665.0	539.0	704.0	9.0	9.0	580.0	1019.0	913.0
NADK	78.0	69.0	1065.0	1070.0	1057.0	1228.0	555.0	274.0	376.0	1892.0	2619.0	2106.0	158.0	230.0	171.0	1929.0	1649.0	2095.0	119.0	123.0	666.0	1161.0	985.0
GNB1	1561.0	1656.0	9899.0	9946.0	9810.0	11948.0	7560.0	4962.0	6612.0	13053.0	20118.0	16606.0	3613.0	4500.0	2959.0	13348.0	12405.0	15258.0	1798.0	1361.0	3931.0	7419.0	6631.0
LOC105378949	0.0	1.0	4.0	8.0	4.0	6.0	0.0	0.0	0.0	12.0	17.0	12.0	0.0	0.0	0.0	11.0	8.0	8.0	1.0	3.0	16.0	9.0	7.0
CALML6	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
TMEM52	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CFAP74	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	1.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	5.0	0.0	1.0	1.0	0.0	1.0
GABRD	12.0	11.0	33.0	26.0	16.0	38.0	163.0	48.0	96.0	267.0	296.0	212.0	111.0	43.0	0.0	200.0	157.0	162.0	14.0	7.0	29.0	44.0	32.0
LOC105378591	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
PRKCZ	24.0	23.0	186.0	202.0	154.0	210.0	168.0	46.0	67.0	259.0	340.0	272.0	44.0	54.0	92.0	271.0	204.0	322.0	40.0	57.0	159.0	164.0	134.0
PRKCZ-AS1	0.0	0.0	12.0	7.0	6.0	10.0	0.0	0.0	0.0	28.0	28.0	20.0	0.0	0.0	0.0	26.0	24.0	34.0	0.0	0.0	3.0	4.0	6.0
FAAP20	97.0	81.0	309.0	288.0	335.0	372.0	148.0	142.0	107.0	938.0	1026.0	791.0	127.0	156.0	97.0	795.0	896.0	1022.0	117.0	106.0	152.0	266.0	213.0
LOC112268219	0.0	1.0	5.0	2.0	10.0	10.0	1.0	0.0	0.0	114.0	148.0	118.0	0.0	0.0	0.0	107.0	98.0	150.0	0.0	1.0	11.0	11.0	13.0
SKI	257.0	237.0	1597.0	1595.0	1601.0	1845.0	515.0	479.0	573.0	2327.0	3963.0	3104.0	489.0	528.0	601.0	2659.0	2389.0	2880.0	333.0	253.0	578.0	1542.0	1464.0
MORN1	23.0	22.0	39.0	28.0	30.0	39.0	70.0	65.0	83.0	53.0	59.0	50.0	42.0	68.0	25.0	32.0	30.0	40.0	94.0	64.0	86.0	50.0	54.0
LOC100129534	0.0	1.0	7.0	3.0	9.0	4.0	3.0	7.0	6.0	7.0	13.0	17.0	0.0	1.0	2.0	19.0	19.0	15.0	4.0	3.0	7.0	22.0	12.0
RER1	150.0	170.0	1092.0	1125.0	1147.0	1287.0	839.0	396.0	580.0	1002.0	1381.0	1164.0	253.0	364.0	295.0	807.0	819.0	997.0	197.0	126.0	597.0	1125.0	991.0
PEX10	20.0	30.0	391.0	410.0	386.0	473.0	75.0	48.0	94.0	503.0	556.0	478.0	66.0	91.0	11.0	355.0	353.0	565.0	80.0	50.0	471.0	571.0	525.0
PLCH2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PANK4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HES5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TNFRSF14-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TNFRSF14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LOC100996583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRXL2B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MMEL1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TTC34	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACTRT2	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRDM16-DT	2.0	0.0	10.0	11.0	9.0	6.0	1.0	0.0	0.0	81.0	82.0	98.0	0.0	0.0	0.0	94.0	43.0	99.0	3.0	1.0	2.0	11.0	8.0
PRDM16	15.0	7.0	78.0	97.0	96.0	138.0	581.0	298.0	297.0	916.0	1218.0	964.0	192.0	333.0	347.0	863.0	511.0	994.0	41.0	27.0	46.0	93.0	66.0
MIR4251	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARHGEF16	24.0	13.0	45.0	48.0	50.0	68.0	161.0	119.0	127.0	309.0	357.0	257.0	83.0	91.0	79.0	263.0	201.0	285.0	28.0	13.0	18.0	36.0	28.0
MEGF6	4.0	2.0	15.0	14.0	15.0	20.0	6.0	6.0	27.0	596.0	698.0	611.0	25.0	20.0	2.0	553.0	434.0	694.0	26.0	5.0	15.0	16.0	25.0
MIR551A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TPRG1L	57.0	46.0	248.0	272.0	248.0	304.0	227.0	98.0	184.0	418.0	670.0	522.0	68.0	48.0	59.0	459.0	389.0	454.0	74.0	69.0	146.0	346.0	355.0
WRAP73	89.0	144.0	326.0	394.0	392.0	436.0	642.0	362.0	545.0	668.0	947.0	753.0	306.0	372.0	434.0	702.0	574.0	786.0	161.0	122.0	232.0	341.0	295.0
TP73	58.0	71.0	252.0	236.0	241.0	292.0	140.0	94.0	123.0	238.0	309.0	237.0	42.0	113.0	106.0	250.0	156.0	257.0	39.0	37.0	180.0	164.0	151.0
TP73-AS1	21.0	14.0	880.0	917.0	884.0	1071.0	2.0	42.0	36.0	1590.0	2159.0	1840.0	54.0	14.0	45.0	1488.0	1351.0	1764.0	28.0	34.0	560.0	904.0	756.0
CCDC27	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	5.0	1.0	5.0	0.0	0.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	1.0
SMIM1	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
LRRC47	286.0	284.0	780.0	812.0	772.0	997.0	1288.0	802.0	1104.0	1111.0	1673.0	1298.0	485.0	631.0	404.0	1140.0	1175.0	1258.0	399.0	307.0	781.0	1181.0	1000.0
CEP104	54.0	115.0	649.0	598.0	665.0	752.0	342.0	214.0	343.0	806.0	1267.0	1063.0	124.0	152.0	99.0	847.0	643.0	940.0	93.0	68.0	665.0	732.0	712.0
DFFB	26.0	45.0	367.0	361.0	368.0	452.0	129.0	44.0	162.0	409.0	534.0	442.0	100.0	151.0	32.0	324.0	347.0	346.0	29.0	35.0	168.0	319.0	279.0
C1orf174	83.0	103.0	516.0	515.0	525.0	640.0	792.0	300.0	454.0	557.0	821.0	733.0	196.0	202.0	69.0	486.0	449.0	565.0	106.0	78.0	346.0	387.0	336.0
LINC01134	2.0	0.0	6.0	14.0	7.0	11.0	0.0	7.0	11.0	6.0	7.0	10.0	0.0	0.0	0.0	5.0	0.0	2.0	8.0	5.0	14.0	25.0	13.0
LINC01346	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
LINC01345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
LINC01777	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	4.0	4.0	0.0	3.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	2.0	0.0
LINC01646	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AJAP1	4.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0
MIR4689	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NPHP4	29.0	40.0	152.0	155.0	180.0	204.0	325.0	229.0	273.0	468.0	598.0	502.0	147.0	137.0	168.0	470.0	387.0	574.0	110.0	55.0	185.0	305.0	307.0
KCNAB2	21.0	7.0	48.0	47.0	43.0	53.0	596.0	164.0	220.0	468.0	683.0	523.0	159.0	185.0	219.0	432.0	393.0	542.0	34.0	20.0	55.0	54.0	56.0
CHD5	0.0	2.0	0.0	0.0	1.0	1.0	3.0	1.0	2.0	3.0	6.0	2.0	1.0	1.0	1.0	0.0	0.0	3.0	2.0	7.0	0.0	1.0	2.0
RPL22	273.0	218.0	2393.0	2533.0	2518.0	2896.0	1009.0	628.0	641.0	5648.0	7517.0	6394.0	56.0	99.0	44.0	4939.0	4607.0	5715.0	97.0	74.0	1392.0	2905.0	2677.0
