DMSO_6_3_RIBO	DMSO_6_4_RIBO	DMSO_6_1_RNA	DMSO_6_2_RNA	DMSO_6_3_RNA	DMSO_6_4_RNA	DMSO_30_1_RIBO	DMSO_30_2_RIBO	DMSO_30_3_RIBO	DMSO_30_1_RNA	DMSO_30_2_RNA	DMSO_30_3_RNA	PP_30_1_RIBO	PP_30_2_RIBO	PP_30_3_RIBO	PP_30_1_RNA	PP_30_2_RNA	PP_30_3_RNA	PP_6_1_RIBO	PP_6_3_RIBO	PP_6_1_RNA	PP_6_2_RNA	PP_6_3_RNA
CALML6	0	0	0	0	1	0	0	0	0	3	1	1	0	0	0	0	0	0	3	0	0	0	0
TMEM52	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CFAP74	3	0	0	0	1	0	0	0	2	1	2	0	0	0	0	1	0	5	0	1	1	0	1
GABRD	12	11	33	26	16	38	163	48	96	267	296	212	111	43	0	200	157	162	14	7	29	44	32
LOC105378591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
PRKCZ	24	23	186	202	154	210	168	46	67	259	340	272	44	54	92	271	204	322	40	57	159	164	134
PRKCZ-AS1	0	0	12	7	6	10	0	0	0	28	28	20	0	0	0	26	24	34	0	0	3	4	6
FAAP20	97	81	309	288	335	372	148	142	107	938	1026	791	127	156	97	795	896	1022	117	106	152	266	213
LOC112268219	0	1	5	2	10	10	1	0	0	114	148	118	0	0	0	107	98	150	0	1	11	11	13
SKI	257	237	1597	1595	1601	1845	515	479	573	2327	3963	3104	489	528	601	2659	2389	2880	333	253	578	1542	1464
MORN1	23	22	39	28	30	39	70	65	83	53	59	50	42	68	25	32	30	40	94	64	86	50	54
LOC100129534	0	1	7	3	9	4	3	7	6	7	13	17	0	1	2	19	19	15	4	3	7	22	12
RER1	150	170	1092	1125	1147	1287	839	396	580	1002	1381	1164	253	364	295	807	819	997	197	126	597	1125	991
PEX10	20	30	391	410	386	473	75	48	94	503	556	478	66	91	11	355	353	565	80	50	471	571	525
PLCH2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PANK4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HES5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF14-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC100996583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRXL2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMEL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTC34	0	0	0	0	0	0	1	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
ACTRT2	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDM16-DT	2	0	10	11	9	6	1	0	0	81	82	98	0	0	0	94	43	99	3	1	2	11	8
PRDM16	15	7	78	97	96	138	581	298	297	916	1218	964	192	333	347	863	511	994	41	27	46	93	66
MIR4251	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF16	24	13	45	48	50	68	161	119	127	309	357	257	83	91	79	263	201	285	28	13	18	36	28
MEGF6	4	2	15	14	15	20	6	6	27	596	698	611	25	20	2	553	434	694	26	5	15	16	25
MIR551A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TPRG1L	57	46	248	272	248	304	227	98	184	418	670	522	68	48	59	459	389	454	74	69	146	346	355
WRAP73	89	144	326	394	392	436	642	362	545	668	947	753	306	372	434	702	574	786	161	122	232	341	295
TP73	58	71	252	236	241	292	140	94	123	238	309	237	42	113	106	250	156	257	39	37	180	164	151
TP73-AS1	21	14	880	917	884	1071	2	42	36	1590	2159	1840	54	14	45	1488	1351	1764	28	34	560	904	756
CCDC27	0	0	0	0	0	0	1	0	1	5	1	5	0	0	0	0	4	1	0	0	0	0	1
SMIM1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1
LRRC47	286	284	780	812	772	997	1288	802	1104	1111	1673	1298	485	631	404	1140	1175	1258	399	307	781	1181	1000
CEP104	54	115	649	598	665	752	342	214	343	806	1267	1063	124	152	99	847	643	940	93	68	665	732	712
DFFB	26	45	367	361	368	452	129	44	162	409	534	442	100	151	32	324	347	346	29	35	168	319	279
C1orf174	83	103	516	515	525	640	792	300	454	557	821	733	196	202	69	486	449	565	106	78	346	387	336
LINC01134	2	0	6	14	7	11	0	7	11	6	7	10	0	0	0	5	0	2	8	5	14	25	13
LINC01346	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
LINC01345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
LINC01777	0	0	1	0	0	0	0	0	0	6	4	4	0	3	0	0	0	6	0	0	0	2	0
LINC01646	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJAP1	4	2	0	0	0	0	0	1	3	0	0	0	0	0	1	0	0	0	0	2	1	0	0
MIR4689	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
NPHP4	29	40	152	155	180	204	325	229	273	468	598	502	147	137	168	470	387	574	110	55	185	305	307
KCNAB2	21	7	48	47	43	53	596	164	220	468	683	523	159	185	219	432	393	542	34	20	55	54	56
CHD5	0	2	0	0	1	1	3	1	2	3	6	2	1	1	1	0	0	3	2	7	0	1	2
RPL22	273	218	2393	2533	2518	2896	1009	628	641	5648	7517	6394	56	99	44	4939	4607	5715	97	74	1392	2905	2677
RNF207-AS1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
RNF207	0	0	0	0	0	0	1	0	0	2	3	3	0	0	0	0	1	0	0	0	1	0	0
ICMT	51	96	2409	2547	2350	2969	250	260	375	1884	2748	2390	133	226	38	1900	1416	1973	46	50	872	1346	1246
LINC00337	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	2	2	1	0	0	0	1	1
HES3	1	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0
GPR153	30	57	1229	1245	1214	1534	93	55	47	2386	3368	2675	108	120	88	2506	2180	2785	68	69	1135	1380	1212
ACOT7	604	683	848	835	877	963	1636	1355	1407	1340	1942	1435	863	979	726	1462	1282	1577	269	205	286	631	589
HES2	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	7	0	0	5	5	1	0	0
ESPN	4	1	6	13	14	9	5	8	4	177	101	51	6	13	12	76	75	86	5	6	0	4	1
MIR4252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF25	0	0	1	1	2	2	0	0	1	33	45	38	0	0	0	36	24	38	0	0	2	2	0
PLEKHG5	1	1	9	10	9	6	27	10	33	145	169	140	20	9	3	137	99	213	4	4	8	6	9
NOL9	265	282	1147	1147	1200	1385	732	380	873	380	614	556	207	310	180	383	379	352	299	246	1451	1669	1585
TAS1R1	0	0	1	7	5	3	1	0	20	6	21	19	0	13	0	10	27	4	0	1	2	6	4
ZBTB48	36	56	172	183	191	216	56	163	119	277	415	335	84	106	74	326	224	318	65	56	178	243	223
KLHL21	108	153	803	770	757	934	941	466	765	1531	2260	1771	351	289	387	1444	1398	1690	293	263	1024	1377	1308
PHF13	172	182	757	818	754	1009	726	634	716	1028	1727	1408	371	448	411	1026	933	1190	252	176	195	669	633
THAP3	53	49	210	206	205	202	146	100	229	328	477	365	129	96	70	270	233	365	83	63	212	337	304
DNAJC11	373	377	1139	1134	1232	1394	2109	1421	1116	1332	1791	1512	896	1045	875	1264	1073	1369	395	324	1152	1076	930
LINC01672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMTA1-DT	0	0	12	8	5	19	0	0	0	10	19	8	0	0	0	8	16	5	0	0	7	14	15
CAMTA1	131	144	590	619	565	815	1709	666	1066	1093	1549	1259	279	584	446	1115	1049	1096	221	127	341	456	381
CAMTA1-AS2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
VAMP3	128	113	1177	1161	1167	1426	784	524	749	1252	1883	1654	253	495	237	1157	1084	1301	128	83	930	1104	1160
PER3	52	39	371	356	396	468	453	141	226	544	852	738	105	162	69	517	545	621	62	33	199	245	214
UTS2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF9	0	1	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	1	0	0	1
PARK7	1002	1040	3109	3025	2945	3574	9483	4874	4992	3878	5180	4115	2424	3462	2328	3421	3359	4024	631	491	1374	2244	2061
ERRFI1	45	84	556	627	588	750	530	253	526	1165	1627	1242	259	366	190	1148	984	1239	86	88	410	506	431
LINC01714	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC45A1	9	11	23	31	16	19	7	67	74	65	96	63	46	18	0	63	37	61	17	16	24	25	23
RERE	630	853	2554	2475	2611	3118	2746	1463	1962	3910	6183	5282	1615	1644	1153	4005	3275	4446	1745	1310	1810	3737	3365
RERE-AS1	1	0	0	0	0	0	0	0	0	2	2	1	0	0	0	2	0	4	0	0	1	3	1
SNORD128	0	0	8	5	5	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	5
ENO1	20432	25242	37369	37871	36848	45211	165901	86904	100665	74316	84258	62268	40476	53847	35376	62201	56534	72022	9975	7331	22185	31304	27949
MIR6728	0	0	12	8	5	13	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	4	4
ENO1-AS1	0	2	8	8	11	7	0	0	0	13	36	25	0	0	0	22	15	14	0	8	7	9	6
CA6	3	0	2	2	7	4	4	0	20	5	14	12	0	1	11	12	2	11	1	5	1	3	0
SLC2A7	0	1	0	0	2	1	0	0	1	3	0	0	0	0	0	2	2	4	0	0	1	3	2
SLC2A5	5	1	0	1	1	0	1	2	0	5	4	4	0	0	1	3	7	3	1	2	0	2	0
GPR157	2	3	156	154	149	199	15	51	8	164	240	213	6	37	0	111	116	140	4	1	53	127	111
MIR34AHG	0	0	1	0	2	0	1	0	0	16	10	1	0	0	0	2	3	3	0	1	1	2	0
MIR34A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LNCTAM34A	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	6	7	1	0	1
H6PD	29	45	727	658	725	856	410	87	223	759	1206	973	145	141	28	644	591	840	87	82	894	1218	1141
SPSB1	28	21	40	49	41	55	28	20	30	51	67	61	5	38	8	57	69	52	40	21	50	39	31
LINC02606	0	2	28	25	23	19	25	1	0	26	37	21	2	15	0	17	20	19	5	10	42	38	26
SLC25A33	6	8	423	418	392	503	11	16	55	333	506	421	34	49	0	384	351	356	5	7	122	227	233
TMEM201	259	277	867	929	861	1052	772	475	852	1487	2383	1988	505	434	253	1626	1450	1728	116	96	587	864	768
PIK3CD	1	10	7	2	3	7	27	0	12	31	13	10	0	0	0	7	17	23	4	4	19	23	22
PIK3CD-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PIK3CD-AS2	2	0	4	7	7	4	0	0	0	4	6	2	0	0	0	11	6	4	1	5	7	5	5
CLSTN1	850	1034	2248	2191	2321	2711	8991	5032	5546	4808	6961	5702	2995	4178	2765	4849	3955	5125	1828	1378	2067	3081	2777
CTNNBIP1	77	70	528	543	636	693	190	72	106	915	1207	997	101	116	39	866	811	936	91	86	369	513	463
LZIC	144	184	1715	1737	1651	2031	1353	719	756	1337	2100	1930	341	648	417	1271	1050	1392	130	106	1055	1488	1396
NMNAT1	28	55	188	246	193	241	390	210	275	261	449	394	72	126	208	253	224	305	39	28	179	295	239
TMEM274P	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
MIR5697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
RBP7	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBE4B	279	382	1432	1418	1393	1700	3141	1288	1918	1651	2623	2313	601	978	605	1672	1557	1848	424	306	1540	1967	1646
KIF1B	677	955	5481	5498	5416	6364	5553	2419	4130	5313	8585	7574	1999	3184	1832	5632	4971	6225	779	567	2799	5879	5456
PGD	2161	2397	3991	3843	3969	4794	15733	7487	10151	6511	9356	7503	2417	3898	2587	6802	6138	7429	1095	810	5818	5457	4751
CENPS-CORT	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	6	0	3	0	0	0	0	0
CENPS	0	0	37	24	30	48	0	0	0	11	15	21	0	0	0	25	4	23	0	0	9	32	33
CORT	0	2	2	0	7	4	0	0	0	1	3	0	0	0	0	1	0	3	0	0	1	0	1
DFFA	146	136	1601	1552	1575	1937	1088	498	619	1503	2443	1952	277	680	199	1465	1272	1453	127	87	1446	1395	1241
PEX14	90	118	135	198	187	222	413	310	430	533	655	477	230	240	204	419	415	587	223	126	324	232	203
CASZ1	3	2	16	10	7	12	9	1	35	29	32	23	0	1	12	8	22	14	5	13	21	17	11
C1orf127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
TARDBP	407	621	2896	3054	3027	3603	3542	1014	2031	3428	5159	4637	919	1477	776	3491	3218	4377	342	226	302	2204	1957
MASP2	0	0	2	1	0	2	2	0	1	53	80	102	0	0	0	78	64	98	0	0	0	1	0
SRM	342	408	1301	1355	1303	1660	886	629	832	2265	3414	2694	336	541	322	2546	2180	2804	307	187	519	1053	934
EXOSC10	656	968	1857	1967	1822	2181	3444	1741	2591	2541	4055	3539	1106	1454	1115	2664	2524	3053	624	496	2635	2487	2323
EXOSC10-AS1	3	4	4	7	8	10	0	0	2	6	6	6	2	0	0	1	3	0	4	1	3	9	11
MTOR	345	439	1983	1967	1906	2507	4461	1983	2929	2634	4310	3725	1583	1995	1068	2995	2329	3343	468	350	2210	2844	2531
MTOR-AS1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0
UBIAD1	61	108	649	634	610	723	377	168	335	701	939	831	98	144	286	581	547	635	128	91	493	705	652
DISP3	1	1	27	13	14	21	60	7	21	66	65	42	23	28	35	42	53	47	9	16	19	21	27
LINC01647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXO2	1	0	0	0	1	3	0	12	0	15	8	21	0	1	0	15	11	14	0	0	0	0	0
FBXO44	14	5	46	46	49	57	61	106	55	377	474	345	54	66	17	337	353	389	11	12	47	43	43
FBXO6	1	2	6	3	9	16	17	64	33	52	84	43	66	20	72	38	65	68	2	1	9	14	15
MAD2L2	58	54	449	473	531	570	652	250	375	905	1275	946	170	225	238	959	790	1023	91	62	314	431	380
DRAXIN	1	1	28	39	33	42	183	65	13	170	218	207	65	24	142	150	134	152	5	4	13	13	11
AGTRAP	28	22	101	110	105	124	351	106	151	241	296	196	93	64	132	158	225	234	37	49	99	112	110
C1orf167	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	3	0	0	1
C1orf167-AS1	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0
MTHFR	46	61	363	373	300	437	469	262	175	510	792	614	38	74	10	573	411	589	92	85	367	514	505
CLCN6	145	185	658	608	655	734	870	504	605	1055	1617	1385	380	400	441	1169	961	1262	241	174	644	777	776
NPPA-AS1	2	0	5	11	15	11	0	0	0	9	14	16	0	0	0	4	10	6	0	0	9	8	8
NPPA	0	0	0	0	0	0	0	0	0	10	7	12	0	0	0	16	1	1	0	0	0	2	1
NPPB	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
RNU5E-1	352	637	2555	1937	3276	2385	1154	345	757	0	9	8	189	865	654	0	2	2	294	180	68	400	472
KIAA2013	60	52	717	727	750	855	229	165	178	1128	1460	1100	140	96	52	1055	771	1075	57	48	365	544	565
PLOD1	377	528	1033	955	1006	1142	3619	1848	2238	3328	3566	2515	1336	1324	1064	2656	2201	3157	288	260	789	781	635
MFN2	342	396	1578	1658	1565	1847	2753	1744	2038	2331	3433	2796	957	1071	792	2370	1933	2519	407	258	1359	1692	1526
MIIP	61	82	269	271	273	307	254	267	211	898	1149	841	198	202	222	882	895	1017	115	95	235	286	292
MIR6729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
TNFRSF8	1	1	0	0	0	0	0	0	0	20	1	0	0	0	1	0	0	0	0	0	0	1	0
MIR7846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
TNFRSF1B	3	1	4	7	7	13	97	0	16	37	53	27	1	8	0	26	35	51	1	1	1	0	1
MIR4632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VPS13D	102	137	828	851	933	1084	1639	734	1193	988	1802	1643	589	559	364	1173	917	1271	137	105	845	1583	1497
SNORA59A	0	0	0	2	0	1	0	0	0	0	0	2	0	0	0	4	0	3	0	0	1	1	1
DHRS3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	4	1	1	0	0	0	0
MIR6730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
C1orf158	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	3	1	0	0
PRAMEF12	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	4	0	0	0	0
